 Simulation_Period = 20180101 -- 20181231
       Day                         AVG & STDDEV for VAR[1:n]
  20181117            4.366822            0.002915
  20181118            4.376918            0.002909
  20181119            4.386993            0.002903
  20181120            4.397046            0.002896
  20181121            4.407076            0.002890
  20181122            4.417085            0.002884
  20181123            4.427072            0.002877
  20181124            4.437036            0.002871
  20181125            4.446978            0.002864
  20181126            4.456898            0.002858
  20181127            4.466796            0.002852
  20181128            4.476672            0.002845
  20181129            4.486525            0.002839
  20181130            4.496356            0.002832
  20181201            4.506164            0.002826
  20181202            4.515950            0.002819
  20181203            4.525714            0.002813
  20181204            4.535456            0.002806
  20181205            4.545175            0.002800
  20181206            4.554871            0.002793
  20181207            4.564545            0.002787
  20181208            4.574196            0.002780
  20181209            4.583825            0.002774
  20181210            4.593431            0.002767
  20181211            4.603015            0.002761
  20181212            4.612576            0.002754
  20181213            4.622115            0.002748
  20181214            4.631630            0.002741
  20181215            4.641124            0.002735
  20181216            4.650594            0.002728
  20181217            4.660042            0.002722
  20181218            4.669467            0.002715
  20181219            4.678869            0.002709
  20181220            4.688249            0.002702
  20181221            4.697606            0.002695
  20181222            4.706940            0.002689
  20181223            4.716251            0.002682
  20181224            4.725540            0.002676
  20181225            4.734805            0.002669
  20181226            4.744048            0.002663
  20181227            4.753268            0.002656
  20181228            4.762466            0.002649
  20181229            4.771640            0.002643
  20181230            4.780792            0.002636
  20181231            4.789921            0.002630
