 Data_Period = 20180101 -- 20180131
      Hour        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH
2018010819            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010820            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010821            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010822            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010823            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010824            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010901            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010902            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010903            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010904            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010905            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010906            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010907            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010908            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010909            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010910            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010911            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010912            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010913            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010914            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010915            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010916            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010917            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010918            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010919            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010920            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010921            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010922            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010923            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010924            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011001            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011002            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011003            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011004            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011005            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011006            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011007            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011008            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011009            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011010            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011011            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011012            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011013            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011014            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011015            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011016            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011017            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011018            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011019            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011020            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011021            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011022            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011023            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011024            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011101            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011102            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011103            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011104            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011105            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011106            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011107            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011108            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011109            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011110            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011111            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011112            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011113            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011114            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011115            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011116            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011117            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011118            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011119            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011120            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011121            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011122            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011123            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011124            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011201            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011202            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011203            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011204            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011205            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011206            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011207            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011208            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011209            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011210            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011211            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011212            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011213            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011214            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011215            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011216            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011217            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011218            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011219            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011220            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011221            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011222            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011223            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011224            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011301            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011302            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011303            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011304            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011305            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011306            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011307            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011308            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011309            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011310            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011311            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011312            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011313            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011314            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011315            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011316            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011317            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011318            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011319            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011320            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011321            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011322            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011323            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011324            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011401            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011402            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011403            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011404            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011405            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011406            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011407            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011408            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011409            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011410            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011411            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011412            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011413            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011414            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011415            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011416            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011417            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011418            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011419            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011420            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011421            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011422            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011423            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011424            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011501            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011502            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011503            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011504            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011505            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011506            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011507            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011508            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011509            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011510            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011511            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011512            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011513            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011514            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011515            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011516            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011517            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011518            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011519            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011520            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011521            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011522            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011523            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011524            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011601            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011602            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011603            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011604            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011605            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011606            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011607            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011608            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011609            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011610            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011611            0.000000           25.000000         -999.000000           -0.000726            7.200000
