 SCE-UA Results from Multiple Runs:

         LF0          r0         VP1         VP2          VM         KP1         KP2          KM        Qmax         Kba        Kdes          rE         pEP        fpEM          fD          gD          Vg       alpha          KD          Yg        Ygsl        wdie       gamma        beta       WPA2D         tau       wdorm |  CRITERION    OBJ-1:         0
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026677    0.252663    0.100021    0.015384    0.049983    0.314104    0.499921    0.599991    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2578    0.3422
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027230    0.250561    0.100053    0.041281    0.049988    0.311998    0.499978    0.599985    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2565    0.3434
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026947    0.251217    0.100106    0.967292    0.049979    0.313331    0.499949    0.599926    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2575    0.3424
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027342    0.250102    0.100007    0.854892    0.049999    0.311618    0.499653    0.599967    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2566    0.3433
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026908    0.250416    0.100003    0.120716    0.049943    0.313977    0.499983    0.599863    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2578    0.3421
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026698    0.250224    0.100011    0.013551    0.050000    0.313563    0.499503    0.599940    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2577    0.3422
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026959    0.250213    0.100004    0.107532    0.049996    0.313228    0.499825    0.599956    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2575    0.3423
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.028506    0.250549    0.100003    0.345369    0.049987    0.307476    0.499964    0.599962    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2538    0.3461
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026304    0.250946    0.100010    0.858063    0.048498    0.326977    0.499904    0.599988    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3010    0.2579    0.3441
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026939    0.250014    0.100003    0.991684    0.049976    0.313180    0.499393    0.599973    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2576    0.3423
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.030556    0.255211    0.100003    0.991132    0.049992    0.299641    0.499059    0.599988    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3003    0.2497    0.3509
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.023245    0.251765    0.100000    0.428698    0.049941    0.325627    0.499995    0.599882    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3007    0.2644    0.3369
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027776    0.251656    0.100013    0.966129    0.046957    0.332808    0.499614    0.599927    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3023    0.2532    0.3514
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027034    0.262199    0.100011    0.787977    0.049989    0.312834    0.499739    0.599893    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3001    0.2576    0.3427
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.028436    0.250994    0.100004    0.011259    0.049970    0.307861    0.499933    0.599939    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2540    0.3460
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.035949    0.250130    0.100002    0.980228    0.049995    0.283374    0.499653    0.599731    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3013    0.2418    0.3609
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026839    0.250045    0.100031    0.031906    0.049979    0.313860    0.499969    0.599960    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2577    0.3421
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027605    0.251340    0.100024    0.594292    0.049997    0.310281    0.499001    0.599976    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2562    0.3439
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.029244    0.250068    0.100010    0.139469    0.049996    0.304816    0.499976    0.599997    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2523    0.3478
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027426    0.250136    0.100013    0.079514    0.049989    0.311381    0.499573    0.599992    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2565    0.3434
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027123    0.250202    0.100017    0.949353    0.049998    0.312733    0.499951    0.599922    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2572    0.3426
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026850    0.250144    0.100000    0.996095    0.049951    0.314163    0.499949    0.599980    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2578    0.3420
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.021302    0.250017    0.100045    0.012727    0.049152    0.340921    0.499974    0.599995    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3018    0.2711    0.3325
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026695    0.250041    0.100031    0.882046    0.049767    0.315922    0.499845    0.599972    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3001    0.2580    0.3422
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026072    0.256000    0.100065    0.986081    0.050000    0.314721    0.499986    0.599997    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3001    0.2574    0.3427
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027131    0.250121    0.100016    0.496702    0.049979    0.312769    0.499660    0.599999    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2573    0.3426
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026928    0.250016    0.100003    0.214446    0.049988    0.313368    0.499764    0.599945    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2576    0.3422
