MMDDHH	SIN_mg/cm3/h	STP_oC	SWC	SWP_MPa	pH
011504	0	25	0.245	-0.000726	7.3
011505	0	25	0.245	-0.000726	7.3
011506	0	25	0.245	-0.000726	7.3
011507	0	25	0.245	-0.000726	7.3
011508	0	25	0.245	-0.000726	7.3
011509	0	25	0.245	-0.000726	7.3
011510	0	25	0.245	-0.000726	7.3
011511	0	25	0.245	-0.000726	7.3
011512	0	25	0.245	-0.000726	7.3
011513	0	25	0.245	-0.000726	7.3
011514	0	25	0.245	-0.000726	7.3
011515	0	25	0.245	-0.000726	7.3
011516	0	25	0.245	-0.000726	7.3
011517	0	25	0.245	-0.000726	7.3
011518	0	25	0.245	-0.000726	7.3
011519	0	25	0.245	-0.000726	7.3
011520	0	25	0.245	-0.000726	7.3
011521	0	25	0.245	-0.000726	7.3
011522	0	25	0.245	-0.000726	7.3
011523	0	25	0.245	-0.000726	7.3
011524	0	25	0.245	-0.000726	7.3
011601	0	25	0.245	-0.000726	7.3
011602	0	25	0.245	-0.000726	7.3
011603	0	25	0.245	-0.000726	7.3
011604	0	25	0.245	-0.000726	7.3
011605	0	25	0.245	-0.000726	7.3
011606	0	25	0.245	-0.000726	7.3
011607	0	25	0.245	-0.000726	7.3
011608	0	25	0.245	-0.000726	7.3
011609	0	25	0.245	-0.000726	7.3
011610	0	25	0.245	-0.000726	7.3
011611	0	25	0.245	-0.000726	7.3
011612	0	25	0.245	-0.000726	7.3
011613	0	25	0.245	-0.000726	7.3
011614	0	25	0.245	-0.000726	7.3
011615	0	25	0.245	-0.000726	7.3
011616	0	25	0.245	-0.000726	7.3
011617	0	25	0.245	-0.000726	7.3
011618	0	25	0.245	-0.000726	7.3
011619	0	25	0.245	-0.000726	7.3
011620	0	25	0.245	-0.000726	7.3
011621	0	25	0.245	-0.000726	7.3
011622	0	25	0.245	-0.000726	7.3
011623	0	25	0.245	-0.000726	7.3
011624	0	25	0.245	-0.000726	7.3
011701	0	25	0.245	-0.000726	7.3
011702	0	25	0.245	-0.000726	7.3
011703	0	25	0.245	-0.000726	7.3
011704	0	25	0.245	-0.000726	7.3
011705	0	25	0.245	-0.000726	7.3
011706	0	25	0.245	-0.000726	7.3
011707	0	25	0.245	-0.000726	7.3
011708	0	25	0.245	-0.000726	7.3
011709	0	25	0.245	-0.000726	7.3
011710	0	25	0.245	-0.000726	7.3
011711	0	25	0.245	-0.000726	7.3
011712	0	25	0.245	-0.000726	7.3
011713	0	25	0.245	-0.000726	7.3
011714	0	25	0.245	-0.000726	7.3
011715	0	25	0.245	-0.000726	7.3
011716	0	25	0.245	-0.000726	7.3
011717	0	25	0.245	-0.000726	7.3
011718	0	25	0.245	-0.000726	7.3
011719	0	25	0.245	-0.000726	7.3
011720	0	25	0.245	-0.000726	7.3
011721	0	25	0.245	-0.000726	7.3
011722	0	25	0.245	-0.000726	7.3
011723	0	25	0.245	-0.000726	7.3
011724	0	25	0.245	-0.000726	7.3
011801	0	25	0.245	-0.000726	7.3
011802	0	25	0.245	-0.000726	7.3
011803	0	25	0.245	-0.000726	7.3
011804	0	25	0.245	-0.000726	7.3
011805	0	25	0.245	-0.000726	7.3
011806	0	25	0.245	-0.000726	7.3
011807	0	25	0.245	-0.000726	7.3
011808	0	25	0.245	-0.000726	7.3
011809	0	25	0.245	-0.000726	7.3
011810	0	25	0.245	-0.000726	7.3
011811	0	25	0.245	-0.000726	7.3
011812	0	25	0.245	-0.000726	7.3
011813	0	25	0.245	-0.000726	7.3
011814	0	25	0.245	-0.000726	7.3
011815	0	25	0.245	-0.000726	7.3
011816	0	25	0.245	-0.000726	7.3
011817	0	25	0.245	-0.000726	7.3
011818	0	25	0.245	-0.000726	7.3
011819	0	25	0.245	-0.000726	7.3
011820	0	25	0.245	-0.000726	7.3
011821	0	25	0.245	-0.000726	7.3
011822	0	25	0.245	-0.000726	7.3
011823	0	25	0.245	-0.000726	7.3
011824	0	25	0.245	-0.000726	7.3
011901	0	25	0.245	-0.000726	7.3
011902	0	25	0.245	-0.000726	7.3
011903	0	25	0.245	-0.000726	7.3
011904	0	25	0.245	-0.000726	7.3
011905	0	25	0.245	-0.000726	7.3
011906	0	25	0.245	-0.000726	7.3
011907	0	25	0.245	-0.000726	7.3
011908	0	25	0.245	-0.000726	7.3
011909	0	25	0.245	-0.000726	7.3
011910	0	25	0.245	-0.000726	7.3
011911	0	25	0.245	-0.000726	7.3
011912	0	25	0.245	-0.000726	7.3
011913	0	25	0.245	-0.000726	7.3
011914	0	25	0.245	-0.000726	7.3
011915	0	25	0.245	-0.000726	7.3
011916	0	25	0.245	-0.000726	7.3
011917	0	25	0.245	-0.000726	7.3
011918	0	25	0.245	-0.000726	7.3
011919	0	25	0.245	-0.000726	7.3
